"id","title","first","last","url","n1","n2","n3","n4","n5"
"056078","駅伝馬車","アーヴィング","ワシントン","http://www.aozora.gr.jp/cards/001257/files/56078_51422.html",48,44,43,29,22
"056033","クリスマス・イーヴ","アーヴィング","ワシントン","http://www.aozora.gr.jp/cards/001257/files/56033_50983.html",50,45,42,29,19
"046658","スリーピー・ホローの伝説","アーヴィング","ワシントン","http://www.aozora.gr.jp/cards/001257/files/46658_44767.html",51,46,44,33,22
"046340","ファラデーの伝","愛知","敬一","http://www.aozora.gr.jp/cards/001234/files/46340_24939.html",68,62,59,44,34
"046511","一片の石","会津","八一","http://www.aozora.gr.jp/cards/001245/files/46511_25607.html",57,50,47,35,25
"046512","菊の根分をしながら","会津","八一","http://www.aozora.gr.jp/cards/001245/files/46512_25608.html",63,55,50,35,27
"046513","支那の明器","会津","八一","http://www.aozora.gr.jp/cards/001245/files/46513_25609.html",0,0,0,0,0
"046514","拓本の話","会津","八一","http://www.aozora.gr.jp/cards/001245/files/46514_25610.html",60,54,51,38,30
"047032","隅田の春","饗庭","篁村","http://www.aozora.gr.jp/cards/000374/files/47032_31783.html",37,33,32,24,19
"045754","良夜","饗庭","篁村","http://www.aozora.gr.jp/cards/000374/files/45754_23935.html",60,55,51,36,28
"056572","青空文庫の提案","青空文庫","","http://www.aozora.gr.jp/cards/001790/files/56572_51810.html",62,55,52,34,23
"052214","百万人のそして唯一人の文学","青野","季吉","http://www.aozora.gr.jp/cards/001542/files/52214_46221.html",59,53,50,36,22
"047604","夢の如く出現した彼","青柳","喜兵衛","http://www.aozora.gr.jp/cards/001314/files/47604_33427.html",55,48,45,31,21
"053182","三人の百姓","秋田","雨雀","http://www.aozora.gr.jp/cards/001584/files/53182_49659.html",63,58,56,44,36
"043837","ある自殺者の手記","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/43837_23037.html",58,54,52,37,28
"047074","親ごころ","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/47074_40109.html",58,56,54,42,29
"046405","寡婦","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/46405_26862.html",57,53,51,41,29
"043651","狂女","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/43651_17887.html",53,49,48,37,24
"047076","狂人日記","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/47076_40110.html",64,59,57,41,28
"043652","墓","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/43652_17886.html",48,43,42,30,20
"043866","初雪","秋田","滋","http://www.aozora.gr.jp/cards/000903/files/43866_18752.html",55,52,51,42,27
"048283","南洲手抄言志録","秋月","種樹","http://www.aozora.gr.jp/cards/001331/files/48283_32121.html",47,41,41,34,32
"048284","南洲手抄言志録","秋月","種樹","http://www.aozora.gr.jp/cards/001331/files/48284_32146.html",51,41,40,33,23
"000700","ロック、70年代―復刻CDに時代を聴く","秋野","平","http://www015.upp.so-net.ne.jp/onedaywalk/70s/index.html",0,0,0,0,0
"004872","愛読書の印象","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4872_21839.html",60,58,57,45,33
"000016","秋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/16_14570.html",59,55,52,37,26
"000178","芥川竜之介歌集","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/178_14584.html",38,35,34,25,15
"043014","アグニの神","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43014_17430.html",55,51,50,38,28
"000015","アグニの神","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/15_14583.html",50,46,45,34,26
"003804","悪魔","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3804_27277.html",41,38,37,23,18
"000021","浅草公園","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/21_15157.html",60,56,52,35,29
"043361","兄貴のような心持","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43361_17877.html",65,62,61,42,32
"000017","あの頃の自分の事","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/17_14601.html",57,52,50,33,25
"000014","あばばばば","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/14_14602.html",53,49,46,36,28
"001138","鴉片","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1138_15285.html",50,45,42,30,23
"000019","或阿呆の一生","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/19_14618.html",62,57,55,43,27
"000073","或敵打の話","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/73_15158.html",50,45,43,30,21
"000020","或旧友へ送る手記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/20_14619.html",66,61,59,42,24
"003827","或社会主義者","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3827_27278.html",67,61,60,42,25
"000122","或日の大石内蔵助","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/122_15159.html",51,47,44,31,21
